Player Name,Salary,Position,Age,Team,PTS,Total Minutes,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PER
Dalano Banton,1563518,PG,23,TOR,4.6,279,9.0,0.423,0.294,0.708,1.5,1.2,0.4,0.4,0.6,14.9
Christian Koloko,1500000,C,22,TOR,3.1,802,13.8,0.48,0.083,0.627,2.9,0.5,0.4,1.0,0.3,11.4
Bryce McGowens,1461055,SG,20,CHO,5.3,787,17.1,0.396,0.325,0.75,2.0,1.2,0.3,0.1,0.9,7.2
Jordan Goodwin,1280206,PG,24,WAS,6.6,1106,17.8,0.448,0.322,0.768,3.3,2.7,0.9,0.4,0.9,14.8
Kennedy Chandler,1200000,PG,20,MEM,2.2,281,7.8,0.422,0.133,0.462,1.1,1.6,0.3,0.1,0.5,10.6
Noah Vonleh,1160955,C,27,BOS,1.1,171,7.4,0.458,0.25,1.0,2.1,0.3,0.1,0.3,0.5,5.9
Sandro Mamukelashvili,1116112,C,23,SAS/MIL,6.1,660,15.3,0.422,0.303,0.684,4.3,1.4,0.3,0.3,0.8,13.4
Sam Merrill,1105522,SG,26,CLE,5.0,59,11.8,0.409,0.278,1.0,1.8,1.0,0.8,0.0,0.0,15.5
Tyrese Martin,1017781,SG,23,ATL,1.3,66,4.1,0.391,0.143,1.0,0.8,0.1,0.1,0.0,0.1,7.7
Jaden Hardy,1017781,SG,20,DAL,8.8,708,14.8,0.438,0.404,0.823,1.9,1.4,0.4,0.1,1.0,14.6
Ryan Rollins,1017781,PG,20,GSW,1.9,62,5.2,0.35,0.333,1.0,1.0,0.5,0.1,0.1,1.3,-1.4
Max Christie,1017781,SG,19,LAL,3.1,512,12.5,0.415,0.419,0.875,1.8,0.5,0.2,0.2,0.3,7.4
Josh Minott,1017781,SF,20,MIN,3.1,96,6.4,0.5,0.333,1.0,1.7,0.3,0.3,0.4,0.2,17.9
Jabari Walker,1017781,SF,20,POR,3.9,619,11.1,0.419,0.286,0.756,2.3,0.6,0.2,0.2,0.5,9.6
Eugene Omoruyi,1013119,SF,25,DET/OKC,7.0,645,16.1,0.443,0.281,0.68,2.8,0.7,0.7,0.1,0.9,10.9
