Player Name,Salary,Position,Age,Team,PTS,Total Minutes
Naji Marshall,1782621,SF,25,NOP,9.1,1792
Paul Reed,1782621,C,23,PHI,4.2,755
Tre Jones,1782621,PG,23,SAS,12.9,1984
Haywood Highsmith,1752638,PF,26,MIA,4.4,969
Omer Yurtseven,1752638,C,24,MIA,4.4,83
Leandro Bolmaro,1709300,SF,22,UTA,0.4,68
Terry Taylor,1703902,PF,23,CHI/IND,2.9,264
Jared Butler,1674655,PG,22,OKC,6.2,77
Jericho Sims,1639842,C,24,NYK,3.4,812
Sam Hauser,1637966,SF,25,BOS,6.4,1290
Kessler Edwards,1637966,SF,22,BRK/SAC,2.8,385
Isaiah Todd,1575000,PF,21,WAS,1.5,61
Vit Krejci,1563518,PG,22,ATL,1.2,165
JT Thor,1563518,PF,20,CHO,3.8,969
Marko Simonovic,1563518,C,23,CHI,0.9,20
Ayo Dosunmu,1563518,SG,23,CHI,8.6,2098
Isaiah Livers,1563518,PF,24,DET,6.7,1199
Daishen Nix,1563518,PG,20,HOU,4.0,914
Jason Preston,1563518,PG,23,LAC,2.9,124
Austin Reaves,1563518,SG,24,LAL,13.0,1843
Jose Alvarado,1563518,PG,24,NOP,9.0,1310
Miles McBride,1563518,PG,22,NYK,3.5,760
Aaron Wiggins,1563518,SG,24,OKC,6.8,1297
Jock Landale,1563518,C,27,PHO,6.6,979
Trendon Watford,1563518,PF,22,POR,7.4,1182
Dalano Banton,1563518,PG,23,TOR,4.6,279
Christian Koloko,1500000,C,22,TOR,3.1,802
Bryce McGowens,1461055,SG,20,CHO,5.3,787
Jordan Goodwin,1280206,PG,24,WAS,6.6,1106
Kennedy Chandler,1200000,PG,20,MEM,2.2,281
Noah Vonleh,1160955,C,27,BOS,1.1,171
Sandro Mamukelashvili,1116112,C,23,SAS/MIL,6.1,660
Sam Merrill,1105522,SG,26,CLE,5.0,59
Tyrese Martin,1017781,SG,23,ATL,1.3,66
